District/Year,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,876,848,856,627,822,825,1098,919,940,927,976,910,904,810,952,784,1011,924,929,862,733,804,757,840,820,746,669,663,590,652,627,510,643,621,541,496,452,398,418,401,389,379,369,315,275,306,293,295,321,248,162
Pathankot,165,168,166,115,167,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,920,930,842,736,934,875,945,809,753,757,810,767,819,1591,1538,1513,1700,1690,1738,1567,1353,1390,1362,1476,1492,1379,1356,1319,1247,1257,1185,862,1141,1118,991,930,791,809,821,756,697,676,618,560,504,545,654,563,606,501,278
Tarn Taran,871,886,842,777,931,798,902,850,771,856,819,758,824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,523,522,469,440,548,510,542,480,457,472,506,444,483,460,496,445,538,493,523,465,348,439,442,467,463,438,417,418,410,406,395,313,359,329,311,267,280,267,274,189,209,192,169,156,140,142,128,169,141,140,91
Jalandhar,861,809,762,685,837,773,866,793,735,708,741,692,764,734,747,715,785,773,803,744,563,635,794,962,923,805,810,820,810,807,823,711,830,756,722,656,655,518,629,536,519,515,498,501,472,486,446,449,399,384,263
SBS Nagar,385,374,368,282,371,382,387,348,316,297,328,300,303,312,311,254,324,313,308,265,200,237,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,620,606,591,543,671,629,694,661,589,545,552,517,514,493,499,471,503,489,517,488,413,426,395,482,484,457,457,466,453,460,430,396,414,349,366,346,333,318,330,279,261,272,308,292,248,292,218,192,162,186,143
Rupnagar,326,328,274,266,307,284,297,254,277,212,256,216,212,312,307,305,347,312,350,325,296,293,284,287,290,282,277,262,226,244,223,216,248,204,208,208,163,158,177,171,143,122,127,111,118,94,119,119,106,95,81
SAS Nagar,248,235,232,198,228,229,249,227,238,208,191,193,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,1296,1273,1172,1129,1327,1239,1381,1276,1200,1157,1238,1158,1228,1246,1220,1142,1304,1334,1312,1161,1082,1189,1082,1194,1180,1123,1131,1148,1080,1123,1086,923,1085,1053,909,940,897,838,901,898,845,815,697,702,706,739,818,780,699,570,536
Ferozepur,977,959,862,877,1001,911,1969,1850,1636,1849,1785,1587,1569,1599,1586,1470,1661,1704,1738,1823,1677,1714,1548,1649,1605,1499,1488,1512,1518,1430,1367,1249,1340,1287,1287,1239,1085,972,921,922,785,734,671,570,512,532,975,877,764,738,713
Fazilka,1007,1023,939,913,1039,971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,619,609,545,558,601,553,616,563,481,550,509,484,483,487,461,474,496,524,522,487,451,473,366,1576,1514,1244,1420,1407,1385,1325,1278,1120,1287,1208,1149,1144,1114,945,900,840,759,759,624,625,593,656,NA,NA,NA,NA,NA
Sri Muktsar Sahib,1108,1093,969,907,1058,966,1036,957,950,977,963,854,787,795,818,809,822,869,884,741,609,621,572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,908,918,805,794,922,871,961,887,779,873,818,725,767,759,743,735,779,818,838,562,530,576,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,1345,1335,1184,1216,1259,1216,1260,1166,1013,1152,1077,1044,954,993,942,999,949,1014,1117,741,819,935,833,861,837,751,1237,1153,1126,1040,963,820,948,830,701,826,768,683,647,610,519,514,399,332,371,393,696,602,638,591,429
Mansa,890,876,789,742,854,759,841,830,730,791,727,718,612,708,691,691,671,748,719,687,558,621,580,600,598,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,1599,1589,1373,1366,1567,1473,1577,1472,1302,1355,1327,1245,1677,1782,1716,1805,1890,1921,1902,1729,1732,1805,1647,1716,1712,1731,1661,1662,1551,1585,1508,1240,1448,1328,1219,1160,1088,1015,981,984,793,750,735,620,693,696,773,587,706,560,352
Barnala,609,626,560,527,593,567,615,572,520,554,535,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,1223,1193,1073,1048,1153,1123,1297,1141,1063,1137,1133,1126,1042,1197,1095,1184,1310,1191,1267,1144,1026,1130,992,1075,1104,1024,1386,1322,1152,1249,1199,1085,1245,1093,1013,957,907,753,867,848,729,664,594,500,549,487,498,512,475,478,287
Fatehgarh Sahib,454,436,394,340,427,435,449,417,419,376,429,348,369,417,367,379,419,434,443,401,361,399,355,363,352,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Punjab,17830,17636,16067,15086,17617,16562,17982,16472,15169,15753,15720,14596,14493,14695,14489,14175,15509,15551,15910,14192,12751,13687,12738,13548,13374,12399,12309,12152,11548,11578,11084,9445,10988,10176,9417,9169,8533,7674,7866,7434,6648,6392,5809,5284,5181,5368,5618,5145,5017,4491,3335
